name,lat,long,comid,reachcode,comid-long,comid-lat
cannonsville,42.065872,-75.37462,2614136,02040101005432,-75.37843752734193,42.06837274842238
pepacton,42.073603,-74.965531,1748727,02040102000078,-74.98126168402469,42.074564786604974
neversink,41.821286,-74.643266,4147432,02040104000138,-74.63397178960633,41.8180701865379
wallenpaupack,41.460825,-75.18423,2742586,02040103000072,-75.18335984246053,41.459794060628695
prompton,41.589961,-75.32768,2739772,02040103000041,-75.32804198499187,41.58980041074934
shoholaMarsh,41.392015,-74.96866,4150530,02040104000280,-74.96874232929612,41.39234216187212
mongaupeCombined,41.47745,-74.75425,4150118,02040104001543,-74.75439124253133,41.47733103653114
beltzvilleCombined,40.851266,-75.638495,4188143,02040106008081,-75.63942898041554,40.85126160188208
fewalter,41.109236,-75.724918,4185705,02040106000047,-75.72512605813132,41.10885669958868
merrillCreek,40.727174,-75.10281,2588031,02040105000293,-75.10250294185853,40.72655775053058
hopatcong,40.917661,-74.664516,2586785,02040105000076,-74.66461814131664,40.91740568645529
nockamixon,40.471662,-75.184604,2591099,02040105000365,-75.18571343068626,40.47290218909575
assunpink,40.219222,-74.524199,2590255,02040105007474,-74.5241868495005,40.219536729079664
ontelaunee,40.446426,-75.931257,4782243,02040203008990,-75.93092045016581,40.44598209605674
stillCreek,40.85809,-75.990719,4779123,02040203000882,-75.990941389675,40.8579840746755
blueMarsh,40.377289,-76.030759,4783213,02040203000226,-76.0307420095002,40.37711693777791
greenLane,40.332875,-75.481018,4780955,02040203000079,-75.48107948679004,40.3326842599396
01425000,42.07491667,-75.3958056,2614238,02040101000072,-75.40234156663578,42.079657706416654
01417000,42.07502778,-74.97627778,1748727,02040102000078,-74.97718369033079,42.07444085483399
01436000,41.82,-74.6355556,4147432,02040104000138,-74.6351770576017,41.820198744353526
01433500,41.4612222,-74.75877778,4150156,02040104000179,-74.7589323702737,41.46132839721794
01449800,40.84564756,-75.6457437,4187341,02040106000016,-75.6459690280987,40.8451960322613
01447800,41.1048062,-75.7321362,4186403,02040106000047,-75.73200531539867,41.1042082461844
01463620,40.2697222,-74.6719444,2590117,02040105000008,-74.67237952706752,40.269817129366444
01470960,40.3706482,-76.0252159,4783213,02040203000226,-76.02448690287167,40.370911590023866
delLordville,41.867528,-75.21417,2617364,02040101000044,-75.21370796737448,41.86767732970428
delMontague,41.30916667,-74.79527778,4151628,02040104000050,-74.7956079659893,41.30892340920299
delDRCanal,40.22166667,-74.7780556,2590277,02040105001083,-74.77164704243381,40.215428849043484
delTrenton,40.22166667,-74.7780556,2590277,02040105001083,-74.77164704243381,40.215428849043484
outletAssunpink,40.217486,-74.76699,2590137,02040105001098,-74.76824281999559,40.21704323269319
outletSchuylkill,39.894148,-75.203456,4784841,02040203000001,-75.19965218131739,39.89312942661897
